book_id,title,authors,isbn,tags,total_copies,available_copies
B1001,Python Crash Course,Eric Matthes,9.78159E+12,python|beginner|programming,5,3
B1002,rtyg,ryie,774,trur,8,4
B1003,Clean Code,Robert C. Martin,9.78013E+12,software|clean-code|programming,4,2
B1004,Fluent Python,Luciano Ramalho,9.78149E+12,python|advanced|programming,3,1
B1005,Head First Design Patterns,Eric Freeman,9.7806E+12,design-patterns|oop|architecture,3,2
B1006,The Pragmatic Programmer,Andrew Hunt,9.7802E+12,software|best-practices,5,5
B1007,Automate the Boring Stuff,Al Sweigart,9.78159E+12,automation|python|beginner,6,5
B1008,Database System Concepts,Henry Korth,9.78008E+12,database|dbms|theory,3,3
B1009,Operating System Concepts,Silberschatz,9.78112E+12,os|theory|system,3,2
B1010,Introduction to Algorithms,CLRS,9.78026E+12,algorithms|dsa|competitive,5,5
B1011,Java Complete Reference,Herbert Schildt,9.78126E+12,java|programming|reference,4,4
B1012,Effective Java,Joshua Bloch,9.78013E+12,java|clean-code|software,3,3
B1013,Java Concurrency in Practice,Brian Goetz,9.78032E+12,java|concurrency|advanced,2,2
B1014,You Don't Know JS,Kyle Simpson,9.78149E+12,javascript|web|programming,5,4
B1015,Eloquent JavaScript,Marijn Haverbeke,9.78159E+12,javascript|web|beginner,4,4
B1016,HTML & CSS,Jon Duckett,9.78112E+12,web|design|frontend,3,3
B1017,Designing Data-Intensive Applications,Martin Kleppmann,9.78145E+12,systems|distributed|architecture,4,3
B1018,Deep Learning,Ian Goodfellow,9.78026E+12,ai|ml|deep-learning,3,2
B1019,Hands-On Machine Learning,Aurelien Geron,9.78149E+12,ml|python|ai,4,3
B1020,Introduction to Machine Learning,Alpaydin,9.78026E+12,ml|theory|data,3,3
B1021,Reinforcement Learning,Sutton & Barto,9.78026E+12,rl|ai|advanced,2,2
B1022,Compilers: Principles Techniques and Tools,Aho & Ullman,9.78032E+12,compiler|theory,2,2
B1023,Computer Networks,Tanenbaum,9.78013E+12,networks|theory|system,4,4
B1024,Distributed Systems,Maarten van Steen,9.78154E+12,distributed|systems|theory,3,2
B1025,Big Data Fundamentals,Thomas Erl,9.78013E+12,big-data|data-engineering,3,3
B1026,Data Engineering with Python,Paul Crickard,9.78179E+12,data-engineering|python,3,3
B1027,Kafka: The Definitive Guide,Gwen Shapira,9.78149E+12,data-streaming|kafka,4,4
B1028,Spark: The Definitive Guide,Bill Chambers,9.78149E+12,big-data|spark,3,2
B1029,NoSQL Distilled,Pramod Sadalage,9.78013E+12,database|nosql|theory,3,3
B1030,Learning Docker,Pethuru Raj,9.78178E+12,devops|docker|containers,4,4
B1031,Kubernetes in Action,Marko Luksa,9.78162E+12,devops|kubernetes|orchestration,3,3
B1032,Terraform Up & Running,Yevgeniy Brikman,9.78149E+12,devops|infrastructure,2,2
B1033,CI/CD with Jenkins,Christopher Grant,9.78179E+12,devops|cicd|automation,3,3
B1034,Cloud Architecture Patterns,Bill Wilder,9.78145E+12,cloud|architecture|patterns,3,3
202,C++,Sovan,3737,C++,6,6
