OrderID: 102 | Reason: Invalid date
OrderID: 103 | Reason: Invalid date
OrderID: 104 | Reason: Invalid date
OrderID: 105 | Reason: Order date in the future
OrderID: 107 | Reason: Invalid quantity
OrderID: 108 | Reason: Order date in the future
OrderID: 110 | Reason: Invalid date
OrderID: 111 | Reason: Invalid date
OrderID: 112 | Reason: Invalid date
OrderID: 113 | Reason: Invalid date
OrderID: 114 | Reason: Invalid date
OrderID: 116 | Reason: Invalid quantity
OrderID: 117 | Reason: Order date in the future
OrderID: 119 | Reason: Invalid date
OrderID: 120 | Reason: Invalid date
OrderID: 121 | Reason: Invalid date
OrderID: 123 | Reason: Invalid date
OrderID: 124 | Reason: Invalid date
OrderID: 125 | Reason: Invalid date
OrderID: 126 | Reason: Invalid quantity
OrderID: 128 | Reason: Invalid unit price
OrderID: 129 | Reason: Invalid date
OrderID: 130 | Reason: Invalid date
OrderID: 131 | Reason: Invalid unit price
OrderID: 133 | Reason: Invalid date
OrderID: 134 | Reason: Invalid date
OrderID: 135 | Reason: Invalid date
OrderID: 137 | Reason: Invalid date
OrderID: 138 | Reason: Invalid date
OrderID: 139 | Reason: Invalid date
OrderID: 141 | Reason: Invalid quantity
OrderID: 143 | Reason: Invalid date
OrderID: 144 | Reason: Order date in the future
OrderID: 145 | Reason: Invalid date
OrderID: 146 | Reason: Invalid date
OrderID: 147 | Reason: Invalid date
OrderID: 149 | Reason: Invalid date
OrderID: 150 | Reason: Invalid date
