tx_id,user_id,book_id,borrow_date,due_date,return_date,status
T3001,U2001,B1001,2025-10-01,2025-10-15,,borrowed
T3002,U2004,B1003,2025-10-10,2025-10-24,2025-10-20,returned
T3003,U2002,B1009,2025-09-20,2025-10-04,,overdue
T3004,U2005,B1004,2025-11-01,2025-11-15,,borrowed
T3005,U2007,B1014,2025-11-02,2025-11-16,2025-11-14,returned
T3006,U2008,B1007,2025-10-25,2025-11-08,,overdue
T3007,U2010,B1028,2025-11-05,2025-11-19,,borrowed
T3008,U2013,B1038,2025-11-06,2025-11-20,,borrowed
T3009,U2014,B1018,2025-10-18,2025-11-01,2025-11-03,returned
T3010,U2015,B1033,2025-11-07,2025-11-21,,borrowed
T3011,U2017,B1024,2025-09-15,2025-09-29,,overdue
T3012,U2018,B1035,2025-11-08,2025-11-22,,borrowed
T3013,U2019,B1020,2025-10-11,2025-10-25,2025-10-23,returned
T3014,U2020,B1019,2025-11-01,2025-11-15,,borrowed
T3015,U2022,B1016,2025-10-28,2025-11-11,2025-11-10,returned
T3016,U2023,B1017,2025-11-03,2025-11-17,,borrowed
T3017,U2024,B1022,2025-09-18,2025-10-02,,overdue
T3018,U2025,B1012,2025-11-04,2025-11-18,,borrowed
T3019,U2009,B1005,2025-11-05,2025-11-19,,borrowed
T3020,U2009,B1040,2025-10-01,2025-10-15,2025-10-12,returned
T21,U2026,B002,16-11-2025,30-11-2025,16-11-2025,returned
