Order ID: 103 | Quantity is not valid
Order ID: 104 | day 30 must be in range 1..28 for month 2 in year 2025
Order ID: 105 | Cannot order with future date
Order ID: 107 | Quantity is not valid
Order ID: 108 | Unit price not valid
Order ID: 112 | day 32 must be in range 1..31 for month 1 in year 2025
Order ID: 113 | month must be in 1..12, not 13
Order ID: 114 | month must be in 1..12, not 0
Order ID: 116 | Quantity is not valid
Order ID: 117 | Cannot order with future date
Order ID: 123 | day 29 must be in range 1..28 for month 2 in year 2025
Order ID: 126 | Quantity is not valid
Order ID: 128 | Unit price not valid
Order ID: 130 | day 31 must be in range 1..30 for month 4 in year 2025
Order ID: 131 | Unit price not valid
Order ID: 135 | Quantity is not valid
Order ID: 141 | Quantity is not valid
Order ID: 144 | Quantity is not valid
Order ID: 147 | Cannot order with future date
Order ID: 150 | Cannot order with future date
