book_id,title,authors,isbn,tags,total_copies,available_copies
B1001,Python Crash Course,E|||r|||i|||c|||M|||a|||t|||t|||h|||e|||s,9781593279288,p|||y|||t|||h|||o|||n|||b|||e|||g|||i|||n|||n|||e|||r|||p|||r|||o|||g|||r|||a|||m|||m|||i|||n|||g,5,3
B1002,Learning SQL,A|||l|||a|||n|||B|||e|||a|||u|||l|||i|||e|||u,9780596520830,s|||q|||l|||d|||a|||t|||a|||b|||a|||s|||e|||b|||e|||g|||i|||n|||n|||e|||r,4,3
B1003,Clean Code,R|||o|||b|||e|||r|||t|||C|||.|||M|||a|||r|||t|||i|||n,9780132350884,s|||o|||f|||t|||w|||a|||r|||e|||c|||l|||e|||a|||n|||-|||c|||o|||d|||e|||p|||r|||o|||g|||r|||a|||m|||m|||i|||n|||g,4,2
B1004,Fluent Python,L|||u|||c|||i|||a|||n|||o|||R|||a|||m|||a|||l|||h|||o,9781491946008,p|||y|||t|||h|||o|||n|||a|||d|||v|||a|||n|||c|||e|||d|||p|||r|||o|||g|||r|||a|||m|||m|||i|||n|||g,3,1
B1005,Head First Design Patterns,E|||r|||i|||c|||F|||r|||e|||e|||m|||a|||n,9780596007126,d|||e|||s|||i|||g|||n|||-|||p|||a|||t|||t|||e|||r|||n|||s|||o|||o|||p|||a|||r|||c|||h|||i|||t|||e|||c|||t|||u|||r|||e,3,2
B1006,The Pragmatic Programmer,A|||n|||d|||r|||e|||w|||H|||u|||n|||t,9780201616224,s|||o|||f|||t|||w|||a|||r|||e|||b|||e|||s|||t|||-|||p|||r|||a|||c|||t|||i|||c|||e|||s,5,5
B1007,Automate the Boring Stuff,A|||l|||S|||w|||e|||i|||g|||a|||r|||t,9781593275990,a|||u|||t|||o|||m|||a|||t|||i|||o|||n|||p|||y|||t|||h|||o|||n|||b|||e|||g|||i|||n|||n|||e|||r,6,5
B1008,Database System Concepts,H|||e|||n|||r|||y|||K|||o|||r|||t|||h,9780078022159,d|||a|||t|||a|||b|||a|||s|||e|||d|||b|||m|||s|||t|||h|||e|||o|||r|||y,3,3
B1009,Operating System Concepts,S|||i|||l|||b|||e|||r|||s|||c|||h|||a|||t|||z,9781118063330,o|||s|||t|||h|||e|||o|||r|||y|||s|||y|||s|||t|||e|||m,3,2
B1010,Introduction to Algorithms,C|||L|||R|||S,9780262032933,a|||l|||g|||o|||r|||i|||t|||h|||m|||s|||d|||s|||a|||c|||o|||m|||p|||e|||t|||i|||t|||i|||v|||e,5,5
B1011,Java Complete Reference,H|||e|||r|||b|||e|||r|||t|||S|||c|||h|||i|||l|||d|||t,9781260440232,j|||a|||v|||a|||p|||r|||o|||g|||r|||a|||m|||m|||i|||n|||g|||r|||e|||f|||e|||r|||e|||n|||c|||e,4,4
B1012,Effective Java,J|||o|||s|||h|||u|||a|||B|||l|||o|||c|||h,9780134685991,j|||a|||v|||a|||c|||l|||e|||a|||n|||-|||c|||o|||d|||e|||s|||o|||f|||t|||w|||a|||r|||e,3,3
B1013,Java Concurrency in Practice,B|||r|||i|||a|||n|||G|||o|||e|||t|||z,9780321349606,j|||a|||v|||a|||c|||o|||n|||c|||u|||r|||r|||e|||n|||c|||y|||a|||d|||v|||a|||n|||c|||e|||d,2,2
B1014,You Don't Know JS,K|||y|||l|||e|||S|||i|||m|||p|||s|||o|||n,9781491904244,j|||a|||v|||a|||s|||c|||r|||i|||p|||t|||w|||e|||b|||p|||r|||o|||g|||r|||a|||m|||m|||i|||n|||g,5,4
B1015,Javascript,M|||a|||r|||i|||j|||n|||H|||a|||v|||e|||r|||b|||e|||k|||e,9781593279509,j|||a|||v|||a|||s|||c|||r|||i|||p|||t|||w|||e|||b|||b|||e|||g|||i|||n|||n|||e|||r,4,4
B1016,HTML & CSS,J|||o|||n|||D|||u|||c|||k|||e|||t|||t,9781118008188,w|||e|||b|||d|||e|||s|||i|||g|||n|||f|||r|||o|||n|||t|||e|||n|||d,3,3
B1017,Designing Data-Intensive Applications,M|||a|||r|||t|||i|||n|||K|||l|||e|||p|||p|||m|||a|||n|||n,9781449373320,s|||y|||s|||t|||e|||m|||s|||d|||i|||s|||t|||r|||i|||b|||u|||t|||e|||d|||a|||r|||c|||h|||i|||t|||e|||c|||t|||u|||r|||e,4,3
B1018,Deep Learning,I|||a|||n|||G|||o|||o|||d|||f|||e|||l|||l|||o|||w,9780262035613,a|||i|||m|||l|||d|||e|||e|||p|||-|||l|||e|||a|||r|||n|||i|||n|||g,3,2
B1019,Hands-On Machine Learning,A|||u|||r|||e|||l|||i|||e|||n|||G|||e|||r|||o|||n,9781492032649,m|||l|||p|||y|||t|||h|||o|||n|||a|||i,4,3
B1020,Introduction to Machine Learning,A|||l|||p|||a|||y|||d|||i|||n,9780262028189,m|||l|||t|||h|||e|||o|||r|||y|||d|||a|||t|||a,3,3
B1021,Reinforcement Learning,S|||u|||t|||t|||o|||n|||&|||B|||a|||r|||t|||o,9780262039246,r|||l|||a|||i|||a|||d|||v|||a|||n|||c|||e|||d,2,1
B1022,Compilers: Principles Techniques and Tools,A|||h|||o|||&|||U|||l|||l|||m|||a|||n,9780321486813,c|||o|||m|||p|||i|||l|||e|||r|||t|||h|||e|||o|||r|||y,2,2
B1023,Computer Networks,T|||a|||n|||e|||n|||b|||a|||u|||m,9780132126953,n|||e|||t|||w|||o|||r|||k|||s|||t|||h|||e|||o|||r|||y|||s|||y|||s|||t|||e|||m,4,4
B1024,Distributed Systems,M|||a|||a|||r|||t|||e|||n|||v|||a|||n|||S|||t|||e|||e|||n,9781543057386,d|||i|||s|||t|||r|||i|||b|||u|||t|||e|||d|||s|||y|||s|||t|||e|||m|||s|||t|||h|||e|||o|||r|||y,3,2
B1025,Big Data Fundamentals,T|||h|||o|||m|||a|||s|||E|||r|||l,9780134291079,b|||i|||g|||-|||d|||a|||t|||a|||d|||a|||t|||a|||-|||e|||n|||g|||i|||n|||e|||e|||r|||i|||n|||g,3,3
