vendor_id,vendor_name,contact_person,contact_phone,gst_number,email,address,city,active_status
11,Zeta Industries,Rakesh Kumar,9876543210,29KKKNN4567N4XY,rakesh@zetainc.in,808 MG Road Chennai,Chennai,Active
14,Quantum Corp,Rajesh Kumar,9876543210,29NNNRR9101Q7YZ,rajesh@quantumcorp.in,1111 Church Street Hyderabad,Hyderabad,Active
16,TechPros,Ramesh Kumar,9876543210,29PPPTT5678S9AB,ramesh@techpros.in,1313 Park Avenue Chennai,Chennai,Inactive
21,Falcon Solutions,Rakesh Patel,9876543210,27UUUYY1234X4ZX,rakesh@falconsolutions.com,1818 MG Road Chennai,Chennai,Active
22,Gamma Corp,Rahul Kumar,9876543210,29VVVZZ5678Y5AB,rahul@gammacorp.in,1919 MG Road Hyderabad,Hyderabad,Inactive
24,Prime Enterprises,Rajesh Singh,9876543210,29XXXBB1234A7ZX,rajesh@primeenterprises.in,2121 Park Avenue Chennai,Chennai,Active
27,Zeta Technologies,Pooja Sharma,9876543210,22AAADD1234D0ZX,pooja@zetatechnologies.com,2424 Church Street Hyderabad,Hyderabad,Active
29,NextGen Solutions,Sunil Singh,9876543210,27CCCFF9101F2YZ,sunil@nextgen.com,2626 Park Avenue Chennai,Chennai,Active
33,Echo Enterprises,Pooja Patel,9876543210,27GGGII1234J6ZX,pooja@echoenterprises.com,3030 MG Road Chennai,Chennai,Active
35,Gamma Solutions,Ramesh Singh,9876543210,22IIIJJ9101L8YZ,ramesh@gammasolutions.com,3232 MG Road Hyderabad,Hyderabad,Active
37,Prime Innovations,Anita Sharma,9876543210,27KKKLL5678N0AB,anita@primeinnovations.in,3434 Park Avenue Chennai,Chennai,Inactive
40,Zeta Innovations,Rahul Sharma,9876543210,29NNNOO5678Q3AB,rahul@zetainnovations.com,3737 Church Street Hyderabad,Hyderabad,Inactive
42,NextGen Enterprises,Rajesh Kumar,9876543210,29PPPQQ1234S5ZX,rajesh@nextgenenterprises.in,3939 Park Avenue Chennai,Chennai,Active
46,Echo Solutions,Rakesh Singh,9876543210,29TTTUU5678W9AB,rakesh@echosolutions.in,4343 MG Road Chennai,Chennai,Inactive
48,Gamma Innovations,Pooja Sharma,9876543210,29VVVWW1234Y1ZX,pooja@gammainnovations.in,4545 MG Road Hyderabad,Hyderabad,Active
50,Prime Technologies,Rajesh Kumar,9876543210,29XXXYY9101A3YZ,rajesh@primetechnologies.in,4747 Park Avenue Chennai,Chennai,Active
61,Zeta Industries,Rakesh Kumar,9876543210,29KKKNN4567N4XY,rakesh@zetainc.in,5858 MG Road Chennai,Chennai,Active
64,Quantum Corp,Rajesh Kumar,9876543210,29NNNRR9101Q7YZ,rajesh@quantumcorp.in,6161 Church Street Hyderabad,Hyderabad,Active
66,TechPros,Ramesh Kumar,9876543210,29PPPTT5678S9AB,ramesh@techpros.in,6363 Park Avenue Chennai,Chennai,Inactive
71,Falcon Solutions,Rakesh Patel,9876543210,27UUUYY1234X4ZX,rakesh@falconsolutions.com,6868 MG Road Chennai,Chennai,Active
72,Gamma Corp,Rahul Kumar,9876543210,29VVVZZ5678Y5AB,rahul@gammacorp.in,6969 MG Road Hyderabad,Hyderabad,Inactive
74,Prime Enterprises,Rajesh Singh,9876543210,29XXXBB1234A7ZX,rajesh@primeenterprises.in,7171 Park Avenue Chennai,Chennai,Active
77,Zeta Technologies,Pooja Sharma,9876543210,22AAADD1234D0ZX,pooja@zetatechnologies.com,7474 Church Street Hyderabad,Hyderabad,Active
79,NextGen Solutions,Sunil Singh,9876543210,27CCCFF9101F2YZ,sunil@nextgen.com,7676 Park Avenue Chennai,Chennai,Active
83,Echo Enterprises,Pooja Patel,9876543210,27GGGII1234J6ZX,pooja@echoenterprises.com,8080 MG Road Chennai,Chennai,Active
85,Gamma Solutions,Ramesh Singh,9876543210,22IIIJJ9101L8YZ,ramesh@gammasolutions.com,8282 MG Road Hyderabad,Hyderabad,Active
87,Prime Innovations,Anita Sharma,9876543210,27KKKLL5678N0AB,anita@primeinnovations.in,8484 Park Avenue Chennai,Chennai,Inactive
90,Zeta Innovations,Rahul Sharma,9876543210,29NNNOO5678Q3AB,rahul@zetainnovations.com,8787 Church Street Hyderabad,Hyderabad,Inactive
92,NextGen Enterprises,Rajesh Kumar,9876543210,29PPPQQ1234S5ZX,rajesh@nextgenenterprises.in,8989 Park Avenue Chennai,Chennai,Active
96,Echo Solutions,Rakesh Singh,9876543210,29TTTUU5678W9AB,rakesh@echosolutions.in,9393 MG Road Chennai,Chennai,Inactive
98,Gamma Innovations,Pooja Sharma,9876543210,29VVVWW1234Y1ZX,pooja@gammainnovations.in,9595 MG Road Hyderabad,Hyderabad,Active
100,Prime Technologies,Rajesh Kumar,9876543210,29XXXYY9101A3YZ,rajesh@primetechnologies.in,9797 Park Avenue Chennai,Chennai,Active
