tx_id,book_id,user_id,borrow_date,due_date,return_date,status
T3001,B1001,U2001,10/1/2025,10/15/2025,,borrowed
T3002,B1003,U2004,10/10/2025,10/24/2025,10/20/2025,returned
T3003,B1009,U2002,9/20/2025,10/4/2025,,overdue
T3004,B1004,U2005,11/1/2025,11/15/2025,,borrowed
T3005,B1014,U2007,11/2/2025,11/16/2025,11/14/2025,returned
T3006,B1007,U2008,10/25/2025,11/8/2025,,overdue
T3007,B1028,U2010,11/5/2025,11/19/2025,,borrowed
T3008,B1038,U2013,11/6/2025,11/20/2025,,borrowed
T3009,B1018,U2014,10/18/2025,11/1/2025,11/3/2025,returned
T3010,B1033,U2015,11/7/2025,11/21/2025,,borrowed
T3011,B1024,U2017,9/15/2025,9/29/2025,,overdue
T3012,B1035,U2018,11/8/2025,11/22/2025,,borrowed
T3013,B1020,U2019,10/11/2025,10/25/2025,10/23/2025,returned
T3014,B1019,U2020,11/1/2025,11/15/2025,,borrowed
T3015,B1016,U2022,10/28/2025,11/11/2025,11/10/2025,returned
T3016,B1017,U2023,11/3/2025,11/17/2025,,borrowed
T3017,B1022,U2024,9/18/2025,10/2/2025,,overdue
T3018,B1012,U2025,11/4/2025,11/18/2025,,borrowed
T3019,B1005,U2009,11/5/2025,11/19/2025,,borrowed
T3020,B1040,U2009,10/1/2025,10/15/2025,10/12/2025,returned
T21,B1005,U2009,17-11-2025,01-12-2025,,borrowed
