OrderID: 103 | Reason: Invalid quantity
OrderID: 104 | Reason: Invalid date
OrderID: 105 | Reason: Invalid date
OrderID: 107 | Reason: Invalid quantity
OrderID: 108 | Reason: Invalid price
OrderID: 112 | Reason: Invalid date
OrderID: 113 | Reason: Invalid date
OrderID: 114 | Reason: Invalid date
OrderID: 116 | Reason: Invalid quantity
OrderID: 117 | Reason: Invalid date
OrderID: 123 | Reason: Invalid date
OrderID: 126 | Reason: Invalid quantity
OrderID: 128 | Reason: Invalid price
OrderID: 130 | Reason: Invalid date
OrderID: 131 | Reason: Invalid price
OrderID: 135 | Reason: Invalid quantity
OrderID: 141 | Reason: Invalid quantity
OrderID: 144 | Reason: Invalid quantity
OrderID: 147 | Reason: Invalid date
OrderID: 150 | Reason: Invalid date
